ID,Xshape,Yshape,File_Extension
1,300,421,jpg
2,300,452,jpg
3,300,200,jpg
4,300,450,jpg
5,300,199,jpg
6,300,370,jpg
7,300,456,jpg
8,300,449,jpg
9,300,200,jpg
10,300,450,jpg
11,300,451,jpg
12,300,471,jpg
13,300,200,jpg
14,300,450,jpg
15,300,350,jpg
16,300,450,jpg
17,300,289,jpg
18,300,433,jpg
19,300,347,jpg
20,300,474,jpg
21,300,450,jpg
22,300,433,jpg
23,300,450,jpg
24,300,450,jpg
25,300,450,jpg
26,300,449,jpg
27,300,450,jpg
28,300,429,jpg
29,300,450,jpg
30,300,450,jpg
31,300,429,jpg
32,300,450,jpg
33,300,450,jpg
34,300,450,jpg
35,300,450,jpg
36,300,200,jpg
37,300,450,jpg
38,300,450,jpg
39,300,450,jpg
40,300,442,jpg
41,300,442,jpg
42,300,367,jpg
43,300,394,jpg
44,300,375,jpg
45,300,402,jpg
46,300,450,jpg
47,300,450,jpg
48,300,417,jpg
49,300,450,jpg
50,300,451,jpg
51,300,450,jpg
52,300,517,jpg
53,300,205,jpg
54,300,421,jpg
55,300,521,jpg
56,300,450,jpg
57,300,209,jpg
58,300,200,jpg
59,300,200,jpg
60,300,195,jpg
61,300,450,jpg
62,300,450,jpg
63,300,517,jpg
64,300,450,jpg
65,300,324,jpg
66,300,450,jpg
67,300,199,jpg
68,300,198,jpg
69,300,496,jpg
70,300,450,jpg
71,300,450,jpg
72,300,533,jpg
73,300,450,jpg
74,300,400,jpg
75,300,450,jpg
76,300,462,jpg
77,300,422,jpg
78,300,460,jpg
79,300,460,jpg
80,300,460,jpg
81,300,450,jpg
82,300,450,jpg
83,300,450,jpg
84,300,450,jpg
85,300,517,jpg
86,300,300,jpg
87,300,446,jpg
88,300,450,jpg
89,300,470,jpg
90,300,450,jpg
91,300,450,jpg
92,300,405,jpg
93,300,412,jpg
94,300,388,jpg
95,300,450,jpg
96,300,450,jpg
97,300,200,jpg
98,300,450,jpg
99,300,450,jpg
100,300,400,jpg
101,300,199,jpg
102,300,450,jpg
103,300,450,jpg
104,300,450,jpg
105,300,450,jpg
106,300,418,jpg
107,300,450,jpg
108,300,324,jpg
109,300,448,jpg
110,300,450,jpg
111,300,450,jpg
112,300,450,jpg
113,300,491,jpg
114,300,446,jpg
115,300,450,jpg
116,300,438,jpg
117,300,450,jpg
118,300,450,jpg
119,300,450,jpg
120,300,450,jpg
121,300,450,jpg
122,300,225,jpg
123,300,450,jpg
124,300,200,jpg
125,300,225,jpg
126,300,450,jpg
127,300,200,jpg
128,300,450,jpg
129,300,450,jpg
130,300,450,jpg
131,300,385,jpg
132,300,450,jpg
